player_name,flag_label,flag_detail,source_name,source_url,updated
Cedric Mullins,Short-term block,"Signed a one-year, $7 million deal with Tampa Bay after 2025, so this looks more like a bridge spot than a long runway.",New York Post,https://nypost.com/2025/12/03/sports/cedric-mullins-signing-one-year-contract-with-the-rays/,2025-12-03
Cedric Mullins,Recent production,"Struggled after the 2025 trade to the Mets, hitting .182 over 42 games before reaching free agency.",New York Post,https://nypost.com/2025/12/03/sports/cedric-mullins-signing-one-year-contract-with-the-rays/,2025-12-03
Victor Robles,Injury history,"Dislocated his left shoulder on an April 2025 catch and was ruled out for at least 12 weeks.",MLB.com,https://www.mlb.com/news/victor-robles-left-shoulder-fracture,2025-04-09
Victor Robles,Contract runway,"Seattle gave him a two-year extension with a 2027 club option, so he is not just a one-month placeholder.",Lookout Landing,https://www.lookoutlanding.com/2024/8/12/24219046/victory-laps-the-seattle-mariners-and-victor-robles-agree-on-two-year-contract-extension,2024-08-12
Luke Raley,Injury history,"Landed on the IL with a Grade 1 oblique strain in April 2025, with a minimum six-week absence expected.",Lookout Landing,https://www.lookoutlanding.com/2025/4/30/24421041/luke-raley-joins-the-10-day-il-brigade-of-rhylan-thomas-selected-for-potential-debut,2025-04-30
Julio Rodríguez,Defensive dip,"A 2026 review flagged negative Outs Above Average in center, which could matter if Seattle needs more OF flexibility.",Lookout Landing,https://www.lookoutlanding.com/seattle-mariners-analysis/144422/julio-rodriguez-is-an-all-star-going-forward,2026-06-05
Gabriel Arias,Offensive risk,"Finished 2025 with a 77 wRC+ and a 34.4% strikeout rate, making the bat a real question even with strong defense.",Covering the Corner,https://www.coveringthecorner.com/cleveland-guardians-analysis/63358/guardians-season-in-review-gabriel-arias,2025-10-14
Brooks Raley,Injury recovery,"Underwent Tommy John surgery in 2024 and opened 2025 on the 60-day IL after re-signing with the Cubs.",MLB Trade Rumors,https://www.mlbtraderumors.com/2025/02/cubs-sign-brooks-raley.html,2025-02-06
Kyle Tucker,Long-term block,"Signed a four-year, $240 million Dodgers deal with an opt-out after two years, making him a premium MLB-level blocker.",Washington Post,https://www.washingtonpost.com/sports/2026/01/15/kyle-tucker-dodgers-free-agent/,2026-01-15
Byron Buxton,Durability context,"Minnesota used him as a primary DH in 2023 to preserve his body, then moved him back to center in 2024.",Minnesota Star Tribune,https://www.startribune.com/twins-byron-buxton-designated-hitter-center-field-knee-injury-rocco-baldelli/600260931/,2023-03-22
