player_id,card_name,card_code,last_sale,last_sale_date,avg_7,avg_14,avg_30,avg_90,sales_7,sales_14,sales_30,active_listings,sell_through,buy_low,buy_high,market_signal,market_note,data_source,source_url,last_updated
mlb-top100-1,2025 Bowman Chrome Prospect Auto,CPA-JM,218,2026-06-22,,,336,,,,,,,,,Watch,"Jesus Made's last known CPA-JM sale sits below the 30-day average, so the card read depends on whether the next catalyst creates renewed demand.",Manual weekly comps,,2026-06-30
mlb-top100-8,2023 Bowman Chrome Prospect Auto,CPA-JDE,150,,150,164,151,,4,14,27,,,140,150,Watch,"Last sale $150 is essentially even with the $151 30-day average. The 14-day average is higher at $164, but the 7-day average has cooled back to $150 across 4 sales. Good buy only near or under the latest comp; otherwise watch.",Manual weekly comps,,2026-06-30
mlb-top100-6,2025 Bowman Draft Chrome Prospect Auto,CPA-DA,143,,179,171,181,,10,35,65,,,140,160,Buy Watch,"Last sale $143 is below the 7-day, 14-day, and 30-day averages with strong 30-day volume. This is one of the cleaner discounted entries if the baseball path stays live.",Manual weekly comps,,2026-06-30
mlb-top100-10,2025 Bowman Chrome Prospect Auto,CPA-FA,155,,155,142,140,,1,2,8,,,130,145,Watch,"Last sale $155 is above the 30-day and 14-day averages, and the 7-day sample is only one sale. Watch for a pullback toward the $140 range before calling it a buy.",Manual weekly comps,,2026-06-30
mlb-top100-49,2021 Bowman Chrome Prospect Auto,CPA-ERO,45.99,,45.99,43.25,38.92,,1,2,6,,,35,41,Watch,"Last sale $45.99 is above the 30-day and 14-day averages, but the volume is thin. The card is moving, yet the entry is less attractive unless it pulls closer to the 30-day average.",Manual weekly comps,,2026-06-30
mlb-top100-63,2022 Bowman Chrome Prospect Auto,CPA-JB,111,,114,107,98.47,,4,11,18,,,95,105,Momentum Watch,"Last sale $111 is above the 30-day average and near the 7-day average. Momentum is real, but the better entry is closer to the 30-day and 14-day averages.",Manual weekly comps,,2026-06-30
mlb-top100-68,2023 Bowman Draft Chrome Prospect Auto,CDA-CI,44.31,,41.71,41.45,39.58,,32,41,56,,,38,42,Moving Watch,"Last sale $44.31 is above the 30-day, 14-day, and 7-day averages, and volume is healthy. Demand is real, but the buy zone is closer to recent averages than the latest sale.",Manual weekly comps,,2026-06-30
mlb-top100-70,2025 Bowman Chrome Prospect Auto,CPA-CC,103,,101,93.31,93.61,,7,13,30,,,90,100,Watch,"Last sale $103 is above the 30-day and 14-day averages and slightly above the 7-day average. Watch for a sub-$100 entry unless the baseball catalyst strengthens.",Manual weekly comps,,2026-06-30
mlb-top100-89,2023 Bowman Chrome Prospect Auto,CPA-LL,68.75,,77.29,82.84,82.81,,7,12,52,,,65,75,Buy Watch,"Last sale $68.75 is below the 7-day, 14-day, and 30-day averages, with 52 sales in 30 days. This is a discounted entry versus recent comps, but recent short-window averages are cooling.",Manual weekly comps,,2026-06-30
mlb-top100-14,2024 Bowman Chrome Prospect Auto,CPA-AMI,137,,101,91.62,85.02,,3,4,9,,,85,105,Priced In Watch,"Last sale $137 is far above the 30-day, 14-day, and 7-day averages. Momentum is strong, but the current entry looks priced ahead of the recent comp base.",Manual weekly comps,,2026-06-30
