player_id,card_name,card_code,last_sale,last_sale_date,avg_7,avg_14,avg_30,avg_90,sales_7,sales_14,sales_30,active_listings,sell_through,buy_low,buy_high,market_signal,market_note,data_source,source_url,last_updated
mlb-top100-1,2025 Bowman Chrome Prospect Auto,CPA-JM,218,2026-06-22,,,336,,,,,,,,,Watch,"Jesus Made's last known CPA-JM sale sits below the 30-day average, so the card read depends on whether the next catalyst creates renewed demand.",Manual weekly comps,,2026-06-30
mlb-top100-6,2025 Bowman Draft Chrome Prospect Auto,CPA-DA,,,,,181,,,,69,,,,,Strong Watch,"30-day average is $181, up 13.1% across 69 sales. Volume is strong enough to treat the move as broad demand, not a one-sale spike.",Manual weekly comps,,2026-06-30
mlb-top100-8,2023 Bowman Chrome Prospect Auto,CPA-JDE,,,,,151,,,,25,,,,,Strong Watch,"30-day average is $151, up 42.7% across 25 sales. Demand is accelerating around the next catalyst.",Manual weekly comps,,2026-06-30
mlb-top100-10,2025 Bowman Chrome Prospect Auto,CPA-FA,,,,,140,,,,8,,,,,Watch,"30-day average is $140, down 8.8%, but 7-day movement is up 19.2%. Short-term demand is improving after a softer month.",Manual weekly comps,,2026-06-30
mlb-top100-14,2024 Bowman Chrome Prospect Auto,CPA-AMI,137,,101,91.62,81.91,,3,4,10,,,,,Strong Buy Watch,"Last sale is $137 versus an $81.91 30-day average. The 14-day average is $91.62 and 7-day average is $101, showing a sharp acceleration in recent demand.",Manual weekly comps,,2026-06-30
mlb-top100-49,2021 Bowman Chrome Prospect Auto,CPA-ERO,,,,,38.92,,,,6,,,,,Watch,"30-day average is $38.92, up 21% across 6 sales. Demand is moving up, but the sample remains thin.",Manual weekly comps,,2026-06-30
mlb-top100-63,2022 Bowman Chrome Prospect Auto,CPA-JB,,,,,98.47,,,,18,,,,,Watch,"30-day average is $98.47, up 30.6% across 18 sales. The market is reacting meaningfully to renewed prospect momentum.",Manual weekly comps,,2026-06-30
mlb-top100-68,2023 Bowman Draft Chrome Prospect Auto,CDA-CI,,,,,39.23,,,,54,,,,,Strong Watch,"30-day average is $39.23, up 21.9% across 54 sales. 14-day movement is up 15.3% and 7-day movement is up 6.69%, so demand is still advancing.",Manual weekly comps,,2026-06-30
mlb-top100-70,2025 Bowman Chrome Prospect Auto,CPA-CC,103,,,,93.39,,,,29,,,,,Buy Watch,"Last sale is $103 versus a $93.39 30-day average. The 14-day move is up 22.8% and 7-day move is up 31.4%, showing demand is accelerating.",Manual weekly comps,,2026-06-30
mlb-top100-89,2023 Bowman Chrome Prospect Auto,CPA-LL,68.75,,77.29,83.79,82.38,,9,14,53,,,,,Watch,"Last sale is $68.75 versus an $82.38 30-day average. The 13-day average is $83.79 and 7-day average is $77.29, so recent pricing has cooled despite 53 sales in 30 days.",Manual weekly comps,,2026-06-30
